ID,title,volume,DOI,Papertype
238,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,57,10.1016/j.precisioneng.2019.04.004,demoPaper
239,Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets,,10.23919/CLEO.2019.8749806,demoPaper
240,Full-Duplex Jamming for Enhanced Hidden-Key Secrecy,2019-May,10.1109/ICC.2019.8761586,demoPaper
241,Adaptive Physical-Layer Security Through Punctured Coding for Secrecy,2019-May,10.1109/ICC.2019.8761595,demoPaper
242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,58,10.1016/j.mri.2019.01.001,demoPaper
243,High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,161,10.1016/j.commatsci.2019.01.041,demoPaper
244,The AFLOW Library of Crystallographic Prototypes: Part 2,161,10.1016/j.commatsci.2018.10.043,demoPaper
245,Informatics analysis of capillary electropherograms of autologously doped and undoped blood,11,10.1039/c9ay00192a,demoPaper
246,Origami-Based Design of Conceal-and-Reveal Systems,11,10.1115/1.4042427,demoPaper
247,A usability study of four secure email tools using paired participants,22,10.1145/3313761,demoPaper
248,Deconfliction in high-density unmanned aerial vehicle systems,27,10.2514/1.D0119,demoPaper
249,Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,55,10.1109/TAES.2018.2864807,demoPaper
250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,27,10.1016/j.joca.2018.12.016,demoPaper
251,Impact of pulse length on the accuracy of defect depth measurements in pulse thermography,141,10.1115/1.4042785,demoPaper
252,Predicting recrystallized grain size in friction stir processed 304L stainless steel,35,10.1016/j.jmst.2018.10.021,demoPaper
253,Polar coding for physical-layer security without knowledge of the eavesdropper's channel,2019-April,10.1109/VTCSpring.2019.8746472,demoPaper
254,"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",4,10.1109/LRA.2019.2896478,demoPaper
255,Compressive strength of high-strength concrete masonry grouted prisms,202,10.1016/j.conbuildmat.2019.01.037,demoPaper
256,The polygraph: A data structure for genome alignment and variation detection,,,demoPaper
257,Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,25,10.1108/RPJ-01-2018-0029,demoPaper
258,Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,38,10.1007/s10921-019-0566-9,demoPaper
259,The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,67,10.1109/TAP.2018.2888702,demoPaper
260,Turning depths: Evanescent to propagating wave kinetic energy density,4,10.1103/PhysRevFluids.4.034803,demoPaper
261,Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,265,10.1016/j.jmatprotec.2018.09.039,demoPaper
262,Over-Design Versus Redesign as a Response to Future Requirements,141,10.1115/1.4042335,demoPaper
263,Control of Net Radiative Heat Transfer with a Variable-Emissivity Accordion Tessellation,141,10.1115/1.4042442,demoPaper
264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,57,10.1016/j.nanoen.2018.12.080,demoPaper
265,Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,102,10.1016/j.ndteint.2018.12.007,demoPaper
266,Roadmap on biological pathways for electronic nanofabrication and materials,3,10.1088/2399-1984/aaf7d5,demoPaper
267,Impact of soft errors on large-scale FPGA cloud computing,,10.1145/3289602.3293911,demoPaper
268,On-chip FPGA debug instrumentation for machine learning applications,,10.1145/3289602.3293922,demoPaper
269,Measuring the transverse Young's modulus of maize rind and pith tissues,84,10.1016/j.jbiomech.2018.12.028,demoPaper
270,Configuration estimation for accurate position control of large-scale soft robots,24,10.1109/TMECH.2018.2878228,demoPaper
271,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,129,10.1016/j.ijheatmasstransfer.2018.10.030,demoPaper
272,Target control and source estimation metrics for dynamical networks,100,10.1016/j.automatica.2018.11.054,demoPaper
273,Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,,10.1109/RESPECT46404.2019.8985707,demoPaper
274,Dynamics of a capsule flowing in a tube under pulsatile flow,90,10.1016/j.jmbbm.2018.10.025,demoPaper
275,Failure time distributions for complex equipment,35,10.1002/qre.2387,demoPaper
276,An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,67,10.1109/TAP.2018.2880049,demoPaper
277,A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,66,10.1109/TCSII.2018.2845883,demoPaper
278,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,157,10.1016/j.commatsci.2018.10.036,demoPaper
279,Necessary and Sufficient Conditions on State Transformations That Preserve the Causal Structure of LTI Dynamical Networks,2018-December,10.1109/CDC.2018.8619454,demoPaper
280,"Dynamic Networks: Representations, Abstractions, and Well-Posedness",2018-December,10.1109/CDC.2018.8619098,demoPaper
281,Alpha Model Domination in Multiple Choice Learning,,10.1109/ICMLA.2018.00142,demoPaper
282,Static structures in leaky mode waveguides,9,10.3390/app9020247,demoPaper
283,Origami fold states: Concept and design tool,10,10.5194/ms-10-91-2019,demoPaper
284,Geometrically Motivated Reparameterization for Identifiability Analysis in Power Systems Models,,10.1109/NAPS.2018.8600617,demoPaper
285,Product development: Principles and tools for creating desirable and transferable designs,,10.1007/978-3-030-14899-7,demoPaper
286,"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",,10.2514/6.2019-1221,demoPaper
287,The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,,10.2514/6.2019-1573,demoPaper
288,Simulating stall inception in a high-performance fan using createt m-av kestrel,,10.2514/6.2019-1109,demoPaper
289,Microfluidic temperature behavior in a multi-material 3D printed chip,10,10.1115/IMECE2019-11470,demoPaper
290,Takeoff and performance trade-offs of retrofit distributed electric propulsion for urban transport,56,10.2514/1.C035321,demoPaper
291,Identifying mode shapes of turbo-machinery blades using principal component analysis and support vector machines,6,10.1007/978-3-319-74476-6_3,demoPaper
292,New uses of instagram in design history education,,10.35199/epde2019.72,demoPaper
293,Exploring play interventions in design education,,10.35199/epde2019.51,demoPaper
294,"Exploring the moral differences, between industrial design, engineering and entrepreneurship students",,10.35199/epde2019.52,demoPaper
295,Progress on static structures for leaky mode waveguides,Part F144-FiO 2019,10.1364/FIO.2019.JW4A.15,demoPaper
296,Polarization-resolved single-photon measurements of nonlinear Thomson scattering,Part F144-FiO 2019,10.1364/FIO.2019.JW3A.118,demoPaper
297,The personification of big data,2019-August,10.1017/dsi.2019.409,demoPaper
298,Cooperating in long-term relationships with time-varying structure,4,,demoPaper
299,Modeling pressurized dense phase coal fluidization and transport,2019-July,10.1115/POWER2019-1874,demoPaper
300,A usability study of five two-factor authentication methods,,,demoPaper
301,Improving photophoretic trap volumetric displays [Invited],58,10.1364/AO.58.00G363,demoPaper
302,Designing emergent swarm behaviors using behavior trees and grammatical evolution,4,,demoPaper
303,"Is that you, Alice? A usability study of the authentication ceremony of secure messaging applications",,,demoPaper
304,Analyzing the safety impacts of raised medians,,10.1061/9780784482575.009,demoPaper
305,Action needed! Helping users find and complete the authentication ceremony in signal,,,demoPaper
306,When is a tree really a truck? Exploring mental models of encryption,,,demoPaper
307,Frequency response of the leap motion controller and its suitability for measuring tremor,63,10.1016/j.medengphy.2018.11.001,demoPaper
308,DFT-based frequency offset estimators for 16-APSK,55,,demoPaper
309,Doppler power spectra from vehicle-to-everything propagation experiments,55,,demoPaper
310,Analysis of inertial measurement data from a model rocket payload,55,,demoPaper
311,On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry,55,,demoPaper
312,Polarization diversity and equalization of frequency selective channels in telemetry environment for 16APSK,55,,demoPaper
313,Characterization and validation of in situ void formation during resin infusion,,,demoPaper
314,Characteristics of self-deployment in origami-based systems,5B-2019,10.1115/DETC2019-98126,demoPaper
315,Deployable euler spiral connectors (DESCs),5A-2019,10.1115/DETC2019-97546,demoPaper
316,Cylindrical developable mechanisms for minimally invasive surgical instruments,5B-2019,10.1115/DETC2019-97202,demoPaper
317,Factors leading to sustainable social impact on the affected communities of engineering service learning projects,3,10.1115/DETC2019-98407,demoPaper
318,Conceptualizing stable states in origami-based devices using an energy visualization approach,5B-2019,10.1115/DETC2019-98168,demoPaper
319,Thick folding through regionally-sandwiched compliant sheets,5B-2019,10.1115/DETC2019-97899,demoPaper
320,Benefits of a short-term engineering study abroad: A survey of students over the past 15 years,3,10.1115/DETC2019-98419,demoPaper
321,Kirigami-based deployable transcrease hard stop models usable in origami patterns,5B-2019,10.1115/DETC2019-98056,demoPaper
322,Fabrication and testing of a MEMS system for injection of DNA into plant cells,4,10.1115/DETC2019-98019,demoPaper
323,Machine learning for evaluating the social impact of engineered products: A framework,2B-2019,10.1115/DETC2019-98412,demoPaper
324,Simulation of a micro-electro-mechanical system for generating electrical power from pressurized gas,4,10.1115/DETC2019-97923,demoPaper
325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,2B-2019,10.1115/DETC2019-98439,demoPaper
326,Advances in Signal Processing for Friction Stir Welding Temperature Control,,10.1007/978-3-030-05752-7_13,demoPaper
327,Dynamic optimization of high-altitude solar aircraft trajectories under station-keeping constraints,42,10.2514/1.G003737,demoPaper
328,A neutral XML design framework for generating parametric parts in multiple CAD systems,16,10.14733/cadaps.2019.923-935,demoPaper
329,Measurement of radiative gas and particle emissions in biomass flames,37,10.1016/j.proci.2018.06.221,demoPaper
330,3D printed selectable dilution mixer pumps,13,10.1063/1.5070068,demoPaper
331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,11116,10.1117/12.2529893,demoPaper
332,3D printing for lab-on-a-chip devices with 20 μm channels,10932,10.1117/12.2511369,demoPaper
333,Best practices for wake model and optimization algorithm selection in wind farm layout optimization,,10.2514/6.2019-0540,demoPaper
334,Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,,10.2514/6.2019-0538,demoPaper
335,Thermal properties of thin film uranium oxides and thorium oxides,8,10.1115/IMECE2019-11699,demoPaper
336,Effects of laser ablation parameters to pattern high purity magnesium surfaces,2B-2019,10.1115/IMECE2019-11810,demoPaper
337,Radial variation in distortion transfer and generation in a highly loaded fan stage from near-stall to choke,2A-2019,10.1115/GT2019-91753,demoPaper
338,Evaluation and demonstration of take home laboratory kit,52,10.1016/j.ifacol.2019.08.124,demoPaper
339,A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks,18,10.1007/978-3-319-99441-3_57,demoPaper
340,Increasing Inducer Stability and Suction Performance With a Stability Control Device,141,10.1115/1.4040098,demoPaper
341,Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,27,10.1109/TCST.2017.2773027,demoPaper
342,One-dimensional turbulence modelling of a lifted methane/air jet flame in a vitiated coflow,,,demoPaper
343,Changes in perceptions of ethical climate among undergraduate engineering students,,,demoPaper
344,"“Something isn't secure, but I'm not sure how that translates into a problem”: Promoting autonomy by designing for understanding in Signal",,,demoPaper
345,A methodology for analyzing intersection safety,,10.1061/9780784482575.015,demoPaper
346,Safe2Ditch: Emergency landing for small unmanned aircraft systems,16,10.2514/1.I010706,demoPaper
347,Single particle detection enhancement with wavelet-based signal processing technique,Part F129-CLEO_SI 2019,10.1364/CLEO_SI.2019.STu3H.4,demoPaper
348,A comparative usability study of key management in secure email,,,demoPaper
349,Passive Force-Deflection Curves for Controlled Low-Strength Material (CLSM) and Lightweight Cellular Concrete (LCC),2019-March,10.1061/9780784482087.011,demoPaper
350,Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,25,10.1109/JSTQE.2018.2854574,demoPaper
351,User attitudes toward the inspection of encrypted traffic,,,demoPaper
352,Weighing Context and Trade-offs: How suburban adults selected their online security posture,,,demoPaper
353,Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,3,10.1115/DETC2019-98431,demoPaper
354,The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,2B-2019,10.1115/DETC2019-98400,demoPaper
355,The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,51,10.1016/bs.aiht.2019.08.003,demoPaper
356,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,,,demoPaper
357,Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,12,10.5098/hmt.12.20,demoPaper
358,Using a Product's Sustainability Space as a Design Exploration Tool,5,10.1017/dsj.2018.6,demoPaper
359,Broadband antireflective light-blocking layer using nanoparticle suspension in photoresist with high-resolution patterning,18,10.1117/1.JMM.18.1.015501,demoPaper
360,A CAD assembly simplification approach with ray casting,16,10.14733/cadaps.2019.864-877,demoPaper
361,Overestimation of liquefaction hazard in areas of low to moderate seismicity due to improper characterization of probabilistic seismic loading,116,10.1016/j.soildyn.2018.10.040,demoPaper
362,Strategies for Removing Common Mode Failures from TMR Designs Deployed on SRAM FPGAs,66,10.1109/TNS.2018.2877579,demoPaper
363,High surface-area carbon microcantilevers,1,10.1039/c8na00101d,demoPaper
364,Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,10944,10.1117/12.2510174,demoPaper
365,Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,10903,10.1117/12.2511311,demoPaper
366,Accelerating high-throughput searches for new alloys with active learning of interatomic potentials,156,10.1016/j.commatsci.2018.09.031,demoPaper
367,Development and testing of an innovative architectural programming simulation as a precursor to target value design,,10.24928/2019/0221,demoPaper
368,Adaptive control of large-scale soft robot manipulators with unknown payloads,3,10.1115/DSCC2019-9037,demoPaper
369,Three-way spectral decompositions of high-performance military aircraft noise,57,10.2514/1.J057992,demoPaper
370,The Sobrado Vallim Rehabilitation Project,18,10.1007/978-3-319-99441-3_245,demoPaper
371,Expanding the far UV range of aluminum-coated mirrors for space-based observations to reflect hydrogen Lyman lines via fluoride multilayers,Part F162-OIC 2019,10.1364/OIC.2019.MB.4,demoPaper
372,Crackle-related beamforming of military jet aircraft noise,,10.2514/6.2019-2664,demoPaper
373,Coherence analysis of the noise from a simulated highly-heated laboratory-scale jet,,10.2514/6.2019-2633,demoPaper
374,The fog of warnings: How non-essential notifications blur with security warnings,,,demoPaper
375,Testing and analysis of masonry hollow clay block prisms filled with mortar,4,10.1504/IJMRI.2019.102537,demoPaper
376,A robust ensemble feature selector based on rank aggregation for developing new VO2max prediction models using support vector machines,27,10.3906/elk-1808-138,demoPaper
377,Optofluidic platform with integrated optical waveguides and sample preparation for digitized detection of nucleic acid targets,Part F129-CLEO_SI 2019,10.1364/CLEO_SI.2019.STu3H.2,demoPaper
378,Data-driven dynamic equivalents for power system areas from boundary measurements,34,10.1109/TPWRS.2018.2867791,demoPaper
379,Regular 2D and 3D linkage-based origami tessellations,5B-2019,10.1115/DETC2019-97354,demoPaper
380,Rigidly foldable thick origami using designed-offset linkages,5B-2019,10.1115/DETC2019-97621,demoPaper
381,"Compositional MRI of the Hip: Reproducibility, Effect of Joint Unloading, and Comparison of T2 Relaxometry with Delayed Gadolinium-Enhanced Magnetic Resonance Imaging of Cartilage",,10.1177/1947603519841670,demoPaper
382,Developable mechanisms on developable surfaces,4,10.1126/scirobotics.aau5171,demoPaper
383,Review of surface water interactions with metal oxide nanoparticles,,10.1557/jmr.2019.33,demoPaper
384,Microcontroller compiler-assisted software fault tolerance,66,10.1109/TNS.2018.2886094,demoPaper
385,Selective hardening for neural networks in FPGAs,66,10.1109/TNS.2018.2884460,demoPaper
386,Adhesion testing of printed inks while varying the surface treatment of polymer substrates,,10.1080/00218464.2019.1668782,demoPaper
387,High-acquisition-rate single-shot pump-probe measurement using chirped-fiber Bragg gratings,Part F140-CLEO_Europe 2019,,demoPaper
388,Numerical analyses of mortar incorporating the variation in Poisson’s ratio with increasing axial load,32,,demoPaper
389,A design approach to fully compliant multistable mechanisms employing a single bistable mechanism,,10.1080/15397734.2019.1707685,demoPaper
390,When official systems overload: A framework for finding social media calls for help during evacuations,2019-May,,demoPaper
391,Orthogonal liquid-jet impingement on wettability-patterned impermeable substrates,4,10.1103/PhysRevFluids.4.014002,demoPaper
392,Folding approaches for tensioned precision planar shell structures,56,10.2514/1.A34263,demoPaper
393,"Mexico City Basin Effects: Past, Present, and Future",2019-March,10.1061/9780784482100.043,demoPaper
394,Requirements for software to support the use of social media in emergency management: A Delphi study,2019-May,,demoPaper
395,Preface,,,demoPaper
396,The winds and currents mission concept,6,10.3389/fmars.2019.00438,demoPaper
397,Locally correlated slw model for prediction of gas radiation in non-uniform media,2019-June,10.1615/RAD-19.510,demoPaper
398,Accuracy of engineering methods for radiative transfer in CO2-H2O mixtures at high temperature,2019-June,10.1615/RAD-19.500,demoPaper
399,Assessment of engineering gas radiative property models in high pressure turbulent jet diffusion flames,2019-June,10.1615/RAD-19.520,demoPaper
400,"Creating open source models, test cases, and data for oilfield drilling challenges",2019-March,10.2118/194082-ms,demoPaper
401,Traverses for the ISECG-GER design reference mission for humans on the lunar surface,63,10.1016/j.asr.2018.08.032,demoPaper
402,Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies,2018-August,10.1109/PESGM.2018.8586586,demoPaper
403,Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC,,10.1109/NSREC.2018.8584297,demoPaper
404,Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,,10.1109/NSREC.2018.8584313,demoPaper
405,Influence of Communication Irregularities and Co-simulation on Hybrid Power System State Estimation,,10.1109/ISGTEurope.2018.8571859,demoPaper
406,Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,18,10.1039/c8lc00966j,demoPaper
407,Evaluating Safety Impacts of Access Management Alternatives with the Surrogate Safety Assessment Model,2672,10.1177/0361198118773505,demoPaper
408,Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,140,10.1115/1.4040552,demoPaper
409,Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,127,10.1016/j.ijheatmasstransfer.2018.07.044,demoPaper
410,Feasibility of induced pluripotent stem cell therapies for treatment of type 1 diabetes,24,10.1089/ten.teb.2018.0124,demoPaper
411,A model for multi-input mechanical advantage in origami-based mechanisms,10,10.1115/1.4041199,demoPaper
412,Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,31,10.1186/s10033-018-0214-9,demoPaper
413,Spectrum allocations: The aeronautical telemetry story in the USA,33,10.1109/MAES.2018.180031,demoPaper
414,Submerged hydraulic jump remediation at low-head dams: Partial width deflector design,144,10.1061/(ASCE)HY.1943-7900.0001513,demoPaper
415,Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,27,10.1007/s10956-018-9740-6,demoPaper
416,Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,49,10.1007/s11661-018-4922-7,demoPaper
417,"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",32,10.1007/s00162-018-0472-2,demoPaper
418,A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,230,10.1016/j.apenergy.2018.08.029,demoPaper
419,Exploration and evaluation of CAD modeling in virtual reality,15,10.1080/16864360.2018.1462570,demoPaper
420,An optical method for the measurement of combustion gas temperature in particle laden flows,98,10.1016/j.expthermflusci.2018.06.026,demoPaper
421,Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,126,10.1016/j.ijheatmasstransfer.2018.05.068,demoPaper
422,Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,54,10.1016/j.ffa.2018.07.006,demoPaper
423,Error correction in structured optical receivers,24,10.1109/JSTQE.2018.2846024,demoPaper
424,Column axial load effects on the performance of skewed SMF RBS connections,150,10.1016/j.jcsr.2018.09.007,demoPaper
425,Tutorial on interpreting x-ray photoelectron spectroscopy survey spectra: Questions and answers on spectra from the atomic layer deposition of Al2O3 on silicon,36,10.1116/1.5043297,demoPaper
426,FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,,10.1109/HPCS.2018.00082,demoPaper
427,Controlling normal stiffness in droplet-based linear bearings,9,10.3390/mi9100525,demoPaper
428,Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,,10.1109/IVSW.2018.8494874,demoPaper
429,"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",138,10.1016/j.bej.2018.06.014,demoPaper
430,Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,228,10.1016/j.apenergy.2018.06.098,demoPaper
431,Flexural strength and stiffness of block-out connections for steel columns,173,10.1016/j.engstruct.2018.06.055,demoPaper
432,CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,117,10.1016/j.bios.2018.04.016,demoPaper
433,"Active Topology Inference in Store, Code, and Forward Networks",2018-August,10.1109/ISWCS.2018.8491220,demoPaper
434,On peak-to-average power ratio optimization for coded APSK,2018-August,10.1109/ISWCS.2018.8491087,demoPaper
435,Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression,2018-August,10.1109/ISWCS.2018.8491196,demoPaper
436,Erratum: Hardware and software improvements to a low-cost horizontal parallax holographic video monitor (Applied Optics (2018) 57 (A122-A133) DOI: 10.1364/AO.57.00A122),57,10.1364/AO.57.008528,demoPaper
437,Identification and Prioritization of Critical Subject Matter within Mechanical Systems Curriculum in Construction Management Education,14,10.1080/15578771.2017.1372535,demoPaper
438,The emerging impact of cell-free chemical biosynthesis,53,10.1016/j.copbio.2017.12.019,demoPaper
439,Efficiency of Generalized Regular k-point grids,153,10.1016/j.commatsci.2018.06.031,demoPaper
440,Rapid Operational Access and Maneuver Support platform for military logistics and operation planning in water environments,15,10.1177/1548512918772028,demoPaper
441,Lead sulfide quantum dots inside ferritin: synthesis and application to photovoltaics,8,10.1007/s13204-018-0849-y,shortPaper
442,A pseudo-static model for dynamic analysis on frequency domain of distributed compliant mechanisms,10,10.1115/1.4040700,shortPaper
443,Corrigendum: Efficient decellularization of whole porcine kidneys improves reseeded cell behavior (Biomedical Materials (Bristol) (2016) 11 (025003) DOI: 10.1088/1748-6041/11/2/025003),13,10.1088/1748-605X/aadd22,shortPaper
444,Effect of strain path on forming limits and retained austenite transformation in Q&P 1180 steel,734,10.1016/j.msea.2018.07.062,shortPaper
445,Deployable lenticular stiffeners for origami-inspired mechanisms,46,10.1080/15397734.2017.1406370,shortPaper
446,Engineering attitudes: an investigation of the effect of literature on student attitudes toward engineering,28,10.1007/s10798-017-9417-0,shortPaper
447,Total hemispherical apparent radiative properties of the infinite V-groove with specular reflection,124,10.1016/j.ijheatmasstransfer.2018.03.041,shortPaper
448,Synthesis of high-specific volume carbon nanotube structures for gas-phase applications,88,10.1016/j.diamond.2018.07.022,shortPaper
449,Natural frequencies of piled raft foundation including superstructure effect,112,10.1016/j.soildyn.2018.04.048,shortPaper
450,Biomechanical modeling of prosthetic mesh and human tissue surrogate interaction,3,10.3390/biomimetics3030027,shortPaper
451,Autonomous target following with monocular camera on UAS using Recursive-RANSAC tracker,,10.1109/ICUAS.2018.8453285,shortPaper
452,Learned Search Parameters for Cooperating Vehicles using Gaussian Process Regressions,,10.1109/ICUAS.2018.8453323,shortPaper
453,Zipper Tube Reinforcement to Mitigate Flexible Shaft Buckling,,10.1109/REMAR.2018.8449874,shortPaper
454,Modified Material Properties in Curved Panels Through Lamina Emergent Torsional Joints,,10.1109/REMAR.2018.8449881,shortPaper
455,An Origami-based Thickness-Accommodating Bistable Mechanism in Monolithic Thick-sheet Materials,,10.1109/REMAR.2018.8449875,shortPaper
456,Implementation of Rolling Contacts for SORCE Joints,,10.1109/REMAR.2018.8449870,shortPaper
457,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,,10.1145/3233547.3233599,shortPaper
458,Buried Rib SiO2 Multimode Interference Waveguides for Optofluidic Multiplexing,30,10.1109/LPT.2018.2858258,shortPaper
459,Improved Track Continuity in Multi Target Tracking by Fusing Multiple Input Sources,2018-June,10.23919/ACC.2018.8431792,shortPaper
460,Visual Multiple Target Tracking from a Descending Aerial Platform,2018-June,10.23919/ACC.2018.8431915,shortPaper
461,A Class of Logistic Functions for Approximating State-Inclusive Koopman Operators,2018-June,10.23919/ACC.2018.8431525,shortPaper
462,Extending Motion Detection to Track Stopped Objects in Visual Multi-Target Tracking,2018-June,10.23919/ACC.2018.8431009,shortPaper
463,Movie recommendations using the deep learning approach,,10.1109/IRI.2018.00015,shortPaper
464,A graduate school recommendation system using the multi-class support vector machine and KNN approaches,,10.1109/IRI.2018.00050,shortPaper
465,Relative Navigation: A Keyframe-Based Approach for Observable GPS-Degraded Navigation,38,10.1109/MCS.2018.2830079,shortPaper
466,One-dimensional turbulence modeling for cylindrical and spherical flows: model formulation and application,32,10.1007/s00162-018-0465-1,shortPaper
467,Developable compliant-aided rolling-contact mechanisms,126,10.1016/j.mechmachtheory.2018.04.013,shortPaper
468,A Rateless Approach to Physical-Layer Security,2018-May,10.1109/ICC.2018.8422677,shortPaper
469,Nested QPSK Encoding for Information Theoretic Security,2018-May,10.1109/ICC.2018.8422678,shortPaper
470,A Tale of Two Studies: The Best and Worst of YubiKey Usability,2018-May,10.1109/SP.2018.00067,shortPaper
471,Radiative properties of gases,,10.1007/978-3-319-26695-4_59,shortPaper
472,The Future of R&D Leadership: Wider changes in the culture and the market will drive changes in the practice of R&D leadership.,61,10.1080/08956308.2018.1471275,shortPaper
473,Mining social media divides: an analysis of K-12 U.S. School uses of Twitter,43,10.1080/17439884.2018.1504791,shortPaper
474,Design and characterization of a package-less hybrid PDMS-CMOS-FR4 contact-imaging system for microfluidic integration,17,10.1117/1.JMM.17.3.034501,shortPaper
475,Secure Array Synthesis in Multipath Channels,66,10.1109/TAP.2018.2829838,shortPaper
476,Comparison of calibrated empirical and semi-empirical methods for bedload transport rate prediction in gravel bed streams,144,10.1061/(ASCE)HY.1943-7900.0001474,shortPaper
477,A Multimodal Exploration of Engineering Students' Emotions and Electrodermal Activity in Design Activities,107,10.1002/jee.20225,shortPaper
478,Kinetostatic modeling of complex compliant mechanisms with serial-parallel substructures: A semi-analytical matrix displacement method,125,10.1016/j.mechmachtheory.2018.03.014,shortPaper
479,Solar system science with the Wide-Field Infrared Survey Telescope,4,10.1117/1.JATIS.4.3.034003,shortPaper
480,"3D printed microfluidic features using dose control in X, Y, and Z dimensions",9,10.3390/mi9070326,shortPaper
481,A cognitive approach to predicting academic success in computing,2018-June,,shortPaper
482,Increasing student construction interest by engaging elementary students in an inquiry-based 3D modelling after school program,2018-June,,shortPaper
483,Outreach potential of displaying research artifacts in art museums,2018-June,,shortPaper
484,Intensive mentoring and micro-electronics research for students in engineering (IMMERSE),2018-June,,shortPaper
485,Transitioning a manufacturing systems engineering course to student-centered learning,2018-June,,shortPaper
486,Assessment of a global engineering outreach course,2018-June,,shortPaper
487,Understanding engineering and technology student perceptions: Barriers to study abroad participation,2018-June,,shortPaper
488,Designing a sustainable large-scale project-based learning (PBL) experience for juniors in electrical and computer engineering,2018-June,,shortPaper
489,Investigating influences on first-year engineering students' views of ethics and social responsibility,2018-June,,shortPaper
490,A longitudinal study of social and ethical responsibility among undergraduate engineering students: Comparing baseline and midpoint survey results,2018-June,,shortPaper
491,Crafting the future of computing education in CC2020: A workshop,2018-June,,shortPaper
